GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
1400000US22001960100,22001960100,"Census Tract 9601, Acadia Parish, Louisiana",6389,517,6206,485,4072,550,1984,356,1,4,0,17,0,17,0,17,149,92,0,17,149,92,183,129,43,53,20,35,0,17,0,17,0,17,117,130,3,6,3,6,0,17
1400000US22001960200,22001960200,"Census Tract 9602, Acadia Parish, Louisiana",5955,581,5946,584,5703,547,232,199,0,17,11,22,0,17,0,17,0,17,0,17,0,17,9,16,8,16,0,17,0,17,0,17,0,17,1,3,0,17,0,17,0,17
1400000US22001960300,22001960300,"Census Tract 9603, Acadia Parish, Louisiana",3581,308,3555,303,3264,323,206,151,11,18,0,12,0,12,0,12,74,97,0,12,74,97,26,41,26,41,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US22001960400,22001960400,"Census Tract 9604, Acadia Parish, Louisiana",6349,544,6349,544,6107,572,167,87,9,18,17,36,0,17,14,21,35,33,0,17,35,33,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1400000US22001960500,22001960500,"Census Tract 9605, Acadia Parish, Louisiana",6758,702,6450,688,5708,563,507,307,0,17,0,17,0,17,0,17,235,224,0,17,235,224,308,181,73,77,0,17,0,17,0,17,0,17,39,38,196,175,196,175,0,17
1400000US22001960600,22001960600,"Census Tract 9606, Acadia Parish, Louisiana",5970,403,5886,415,4546,476,1096,386,0,17,54,75,0,17,86,135,104,116,0,17,104,116,84,105,84,105,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1400000US22001960700,22001960700,"Census Tract 9607, Acadia Parish, Louisiana",3887,407,3887,407,1896,416,1970,308,0,12,0,12,0,12,0,12,21,24,0,12,21,24,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US22001960800,22001960800,"Census Tract 9608, Acadia Parish, Louisiana",5004,479,4938,502,3594,431,963,365,70,79,74,93,83,115,0,17,154,146,0,17,154,146,66,80,0,17,0,17,35,66,0,17,0,17,31,41,0,17,0,17,0,17
1400000US22001960900,22001960900,"Census Tract 9609, Acadia Parish, Louisiana",5252,415,5248,414,2538,444,2586,382,0,17,0,17,0,17,64,104,60,58,10,16,50,49,4,6,4,6,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1400000US22001961000,22001961000,"Census Tract 9610, Acadia Parish, Louisiana",5315,510,4976,539,3995,556,804,237,0,17,0,17,0,17,84,136,93,99,0,17,93,99,339,216,240,205,0,17,0,17,0,17,0,17,99,77,0,17,0,17,0,17
1400000US22001961100,22001961100,"Census Tract 9611, Acadia Parish, Louisiana",3669,333,3570,324,3312,329,217,128,7,10,0,12,0,12,0,12,34,29,0,12,34,29,99,112,99,112,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US22001961200,22001961200,"Census Tract 9612, Acadia Parish, Louisiana",3718,420,3711,421,3507,456,161,160,0,12,10,22,0,12,0,12,33,47,0,12,33,47,7,16,7,16,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US22003950100,22003950100,"Census Tract 9501, Allen Parish, Louisiana",5195,438,5170,445,4977,449,62,59,66,46,0,17,0,17,0,17,65,59,0,17,65,59,25,34,0,17,0,17,0,17,0,17,0,17,25,34,0,17,0,17,0,17
1400000US22003950200,22003950200,"Census Tract 9502, Allen Parish, Louisiana",5519,351,4597,367,3059,320,1270,200,43,30,70,69,0,17,35,30,120,81,34,60,86,53,922,203,456,123,54,53,34,48,0,17,0,17,197,117,181,88,170,86,11,20
1400000US22003950300,22003950300,"Census Tract 9503, Allen Parish, Louisiana",2652,285,2641,283,1711,242,806,186,42,39,0,12,0,12,0,12,82,80,0,12,82,80,11,13,0,12,3,5,0,12,0,12,0,12,0,12,8,12,0,12,8,12
1400000US22003950400,22003950400,"Census Tract 9504, Allen Parish, Louisiana",4429,386,4351,389,3457,372,687,189,87,63,86,71,0,12,0,12,34,48,0,12,34,48,78,64,46,52,0,12,0,12,0,12,0,12,32,52,0,12,0,12,0,12
1400000US22003950500,22003950500,"Census Tract 9505, Allen Parish, Louisiana",7879,442,7676,462,4926,428,2171,263,358,97,59,36,0,17,0,17,162,120,71,92,91,75,203,118,59,50,22,37,19,25,0,17,0,17,36,37,67,74,63,74,4,6
1400000US22005030101,22005030101,"Census Tract 301.01, Ascension Parish, Louisiana",7075,542,6850,564,6026,537,753,460,0,17,13,22,0,17,0,17,58,59,0,17,58,59,225,196,199,191,0,17,0,17,0,17,0,17,26,39,0,17,0,17,0,17
