geoid,name,B02001001 - Total:,"B02001001 - Total:, Error",B02001002 - White alone,"B02001002 - White alone, Error",B02001003 - Black or African American alone,"B02001003 - Black or African American alone, Error",B02001004 - American Indian and Alaska Native alone,"B02001004 - American Indian and Alaska Native alone, Error",B02001005 - Asian alone,"B02001005 - Asian alone, Error",B02001006 - Native Hawaiian and Other Pacific Islander alone,"B02001006 - Native Hawaiian and Other Pacific Islander alone, Error",B02001007 - Some other race alone,"B02001007 - Some other race alone, Error",B02001008 - Two or more races:,"B02001008 - Two or more races:, Error",B02001009 - Two races including Some other race,"B02001009 - Two races including Some other race, Error","B02001010 - Two races excluding Some other race, and three or more races","B02001010 - Two races excluding Some other race, and three or more races, Error"
14000US22005030300,"Census Tract 303, Ascension, LA",13732,1012,9779,878,3654,693,14,21,51,109,0,19,187,257,47,54,0,19,47,54
14000US22005030500,"Census Tract 305, Ascension, LA",8966,684,7879,583,589,422,0,17,194,249,0,17,126,204,178,133,0,17,178,133
14000US22005031000,"Census Tract 310, Ascension, LA",6909,647,2119,414,4785,664,0,17,1,2,0,17,4,9,0,17,0,17,0,17
14000US22007050100,"Census Tract 501, Assumption, LA",3787,577,1848,378,1901,476,0,12,0,12,0,12,0,12,38,43,0,12,38,43
14000US22007050300,"Census Tract 503, Assumption, LA",3932,459,1717,277,2168,410,0,12,32,46,0,12,0,12,15,21,0,12,15,21
14000US22007050500,"Census Tract 505, Assumption, LA",2864,459,1383,297,1301,378,19,34,0,12,0,12,99,125,62,75,15,31,47,75
14000US22051020101,"Census Tract 201.01, Jefferson, LA",2814,243,2542,252,123,101,0,12,35,51,0,12,53,81,61,69,1,3,60,69
14000US22051020102,"Census Tract 201.02, Jefferson, LA",2982,304,2837,316,46,49,0,12,43,75,0,12,0,12,56,72,0,12,56,72
14000US22051020201,"Census Tract 202.01, Jefferson, LA",2146,276,1687,275,191,204,0,12,155,110,0,12,70,101,43,47,0,12,43,47
14000US22051020202,"Census Tract 202.02, Jefferson, LA",2889,362,1245,316,995,252,54,77,168,156,0,12,329,226,98,81,45,68,53,46
14000US22051020203,"Census Tract 202.03, Jefferson, LA",7147,647,6003,610,298,253,14,20,602,280,0,17,170,264,60,79,59,79,1,3
14000US22051020301,"Census Tract 203.01, Jefferson, LA",3234,239,2659,412,33,45,0,12,265,206,0,12,8,16,269,316,226,315,43,50
14000US22051020302,"Census Tract 203.02, Jefferson, LA",5379,467,4353,506,53,49,13,22,235,104,0,17,408,412,317,203,0,17,317,203
14000US22051020303,"Census Tract 203.03, Jefferson, LA",3922,274,3462,275,1,4,0,12,176,178,0,12,162,233,121,201,0,12,121,201
14000US22051020400,"Census Tract 204, Jefferson, LA",3187,212,3025,197,0,12,26,38,124,90,0,12,12,21,0,12,0,12,0,12
14000US22051020502,"Census Tract 205.02, Jefferson, LA",6785,585,5372,689,632,393,59,55,184,179,0,17,399,403,139,94,13,22,126,94
14000US22051020505,"Census Tract 205.05, Jefferson, LA",1861,252,356,218,1505,279,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US22051020506,"Census Tract 205.06, Jefferson, LA",4197,674,3184,512,486,557,0,12,179,158,0,12,324,304,24,40,0,12,24,40
14000US22051020507,"Census Tract 205.07, Jefferson, LA",3934,409,3484,393,192,133,0,12,177,176,0,12,63,79,18,21,18,21,0,12
14000US22051020508,"Census Tract 205.08, Jefferson, LA",7541,900,5452,813,1445,486,14,26,242,115,0,17,183,234,205,122,44,45,161,105
14000US22051020511,"Census Tract 205.11, Jefferson, LA",4149,342,2947,316,577,246,0,12,359,90,0,12,202,169,64,60,7,14,57,58
14000US22051020512,"Census Tract 205.12, Jefferson, LA",2497,331,1923,339,121,60,0,12,219,171,0,12,214,204,20,29,0,12,20,29
14000US22051020513,"Census Tract 205.13, Jefferson, LA",4819,520,3249,374,745,241,0,12,253,175,0,12,548,377,24,37,0,12,24,37
14000US22051020514,"Census Tract 205.14, Jefferson, LA",3779,233,3578,294,1,2,0,12,96,101,0,12,104,82,0,12,0,12,0,12
14000US22051020515,"Census Tract 205.15, Jefferson, LA",3168,306,2365,296,355,116,154,154,92,65,0,12,196,160,6,11,6,11,0,12
14000US22051020516,"Census Tract 205.16, Jefferson, LA",4609,604,2192,709,1810,542,0,12,11,26,0,12,402,307,194,132,9,15,185,130
14000US22051020517,"Census Tract 205.17, Jefferson, LA",3959,290,3600,330,146,88,28,44,136,126,0,12,49,59,0,12,0,12,0,12
14000US22051020600,"Census Tract 206, Jefferson, LA",4820,590,1340,420,3232,449,0,12,0,12,0,12,232,181,16,25,16,25,0,12
14000US22051020700,"Census Tract 207, Jefferson, LA",1139,245,386,118,585,221,0,12,0,12,0,12,100,114,68,77,0,12,68,77
14000US22051021000,"Census Tract 210, Jefferson, LA",2510,267,1522,190,795,245,3,30,17,25,0,12,116,118,57,66,0,12,57,66
14000US22051021100,"Census Tract 211, Jefferson, LA",2272,308,1982,335,159,134,21,34,82,65,0,12,22,40,6,9,0,12,6,9
14000US22051021200,"Census Tract 212, Jefferson, LA",2386,309,1588,219,469,247,64,100,132,110,0,12,0,12,133,112,74,96,59,51
14000US22051021300,"Census Tract 213, Jefferson, LA",2820,180,2511,203,162,131,0,12,84,74,0,12,52,60,11,18,0,12,11,18
14000US22051021400,"Census Tract 214, Jefferson, LA",2099,158,1863,147,66,63,0,12,66,63,0,12,40,36,64,59,0,12,64,59
14000US22051021500,"Census Tract 215, Jefferson, LA",2843,276,1537,266,810,205,0,12,294,222,0,12,98,122,104,62,9,13,95,61
14000US22051021600,"Census Tract 216, Jefferson, LA",6272,729,4786,732,1001,492,85,98,45,56,0,17,258,319,97,82,65,67,32,39
14000US22051021700,"Census Tract 217, Jefferson, LA",5520,530,4670,487,279,225,291,430,126,108,0,17,87,102,67,64,0,17,67,64
14000US22051021801,"Census Tract 218.01, Jefferson, LA",2254,265,1927,247,169,116,19,24,35,48,0,12,30,50,74,74,16,24,58,72
14000US22051021803,"Census Tract 218.03, Jefferson, LA",4597,592,2098,594,1936,505,17,33,259,202,0,12,84,115,203,188,0,12,203,188
14000US22051021804,"Census Tract 218.04, Jefferson, LA",2089,360,1281,299,513,262,0,12,18,22,0,12,217,326,60,60,19,23,41,58
14000US22051021900,"Census Tract 219, Jefferson, LA",1758,189,1072,158,343,215,0,12,231,139,0,12,53,51,59,71,0,12,59,71
14000US22051022001,"Census Tract 220.01, Jefferson, LA",5207,718,2249,478,2216,520,0,17,615,520,0,17,36,41,91,80,0,17,91,80
14000US22051022002,"Census Tract 220.02, Jefferson, LA",2599,189,2367,181,98,98,113,108,0,12,0,12,21,31,0,12,0,12,0,12
14000US22051022101,"Census Tract 221.01, Jefferson, LA",1452,166,1314,123,2,5,0,12,135,159,0,12,0,12,1,2,0,12,1,2
14000US22051022102,"Census Tract 221.02, Jefferson, LA",2470,284,2043,304,239,154,0,12,175,121,0,12,0,12,13,21,0,12,13,21
14000US22051022200,"Census Tract 222, Jefferson, LA",2217,285,2209,285,1,3,0,12,7,12,0,12,0,12,0,12,0,12,0,12
14000US22051022301,"Census Tract 223.01, Jefferson, LA",2761,270,2612,299,49,58,0,12,53,60,0,12,27,44,20,32,0,12,20,32
14000US22051022302,"Census Tract 223.02, Jefferson, LA",1620,262,1356,216,124,123,12,20,96,83,0,12,0,12,32,35,0,12,32,35
14000US22051022303,"Census Tract 223.03, Jefferson, LA",3443,479,2499,541,307,216,0,12,128,89,0,12,336,315,173,123,36,41,137,111
14000US22051022400,"Census Tract 224, Jefferson, LA",3597,316,3458,346,62,99,5,9,29,29,0,12,35,43,8,14,0,12,8,14
14000US22051022500,"Census Tract 225, Jefferson, LA",2430,316,2272,314,105,133,25,37,26,42,0,12,0,12,2,5,1,3,1,3
14000US22051022600,"Census Tract 226, Jefferson, LA",3306,239,3142,257,72,99,0,12,12,20,0,12,0,12,80,77,0,12,80,77
14000US22051022700,"Census Tract 227, Jefferson, LA",2783,252,2743,256,0,12,0,12,17,26,0,12,0,12,23,36,0,12,23,36
14000US22051022800,"Census Tract 228, Jefferson, LA",2839,226,2604,278,1,3,16,18,15,26,0,12,158,203,45,61,0,12,45,61
14000US22051022900,"Census Tract 229, Jefferson, LA",2769,286,2516,312,158,158,0,12,77,106,0,12,0,12,18,23,8,14,10,17
14000US22051023001,"Census Tract 230.01, Jefferson, LA",1908,135,1831,145,30,47,0,12,8,12,7,17,10,14,22,28,5,8,17,27
14000US22051023002,"Census Tract 230.02, Jefferson, LA",4524,295,4183,336,188,188,43,66,18,27,0,12,80,129,12,18,0,12,12,18
14000US22051023003,"Census Tract 230.03, Jefferson, LA",2907,163,2759,191,42,42,7,12,46,46,0,12,46,43,7,14,0,12,7,14
14000US22051023100,"Census Tract 231, Jefferson, LA",2463,286,2283,279,42,57,30,35,62,93,0,12,46,48,0,12,0,12,0,12
14000US22051023200,"Census Tract 232, Jefferson, LA",2789,233,2560,249,87,74,0,12,13,20,0,12,39,56,90,59,0,12,90,59
14000US22051023300,"Census Tract 233, Jefferson, LA",1725,254,1629,269,8,9,0,12,38,37,0,12,18,28,32,31,24,30,8,12
14000US22051023400,"Census Tract 234, Jefferson, LA",3187,277,3100,323,0,12,52,65,35,56,0,12,0,12,0,12,0,12,0,12
14000US22051023500,"Census Tract 235, Jefferson, LA",4259,285,3965,329,93,74,0,12,8,16,0,12,64,67,129,107,70,77,59,53
14000US22051023600,"Census Tract 236, Jefferson, LA",5177,653,3694,531,668,254,0,17,264,343,0,17,551,358,0,17,0,17,0,17
14000US22051023700,"Census Tract 237, Jefferson, LA",2145,276,42,75,2054,270,0,12,0,12,0,12,0,12,49,35,10,16,39,33
14000US22051023800,"Census Tract 238, Jefferson, LA",3511,415,1968,269,1480,376,0,12,0,12,0,12,11,21,52,73,0,12,52,73
14000US22051023901,"Census Tract 239.01, Jefferson, LA",2401,229,2362,230,7,9,0,12,0,12,0,12,24,37,8,14,0,12,8,14
14000US22051023902,"Census Tract 239.02, Jefferson, LA",2412,146,2310,162,27,30,0,12,53,50,0,12,0,12,22,33,0,12,22,33
14000US22051023903,"Census Tract 239.03, Jefferson, LA",2250,126,2213,121,0,12,0,12,12,18,0,12,13,20,12,17,0,12,12,17
14000US22051023904,"Census Tract 239.04, Jefferson, LA",2761,177,2627,200,103,68,6,11,0,12,0,12,0,12,25,31,0,12,25,31
14000US22051024001,"Census Tract 240.01, Jefferson, LA",2931,183,2883,172,12,26,0,12,11,19,0,12,0,12,25,30,25,30,0,12
14000US22051024002,"Census Tract 240.02, Jefferson, LA",3187,232,3038,246,1,4,0,12,0,12,0,12,133,185,15,24,0,12,15,24
14000US22051024100,"Census Tract 241, Jefferson, LA",3176,238,3115,242,18,16,0,12,15,26,0,12,13,21,15,24,0,12,15,24
14000US22051024201,"Census Tract 242.01, Jefferson, LA",2216,317,1875,281,276,169,0,12,24,20,0,12,6,14,35,64,15,36,20,31
14000US22051024202,"Census Tract 242.02, Jefferson, LA",3362,356,1874,299,870,368,10,15,406,260,0,12,71,100,131,131,0,12,131,131
14000US22051024300,"Census Tract 243, Jefferson, LA",2877,340,2662,344,182,116,22,34,0,12,0,12,1,6,10,22,3,19,7,11
14000US22051024400,"Census Tract 244, Jefferson, LA",2747,239,2127,250,471,100,8,13,34,54,0,12,53,68,54,57,11,16,43,55
14000US22051024500,"Census Tract 245, Jefferson, LA",1673,167,1495,186,74,78,0,12,9,18,0,12,35,55,60,52,10,15,50,51
14000US22051024600,"Census Tract 246, Jefferson, LA",1264,250,248,122,976,244,0,12,0,12,0,12,0,12,40,69,1,7,39,64
14000US22051024700,"Census Tract 247, Jefferson, LA",1769,247,1207,199,419,145,63,98,2,5,0,12,0,12,78,66,0,12,78,66
14000US22051024800,"Census Tract 248, Jefferson, LA",3313,257,3246,257,0,12,0,12,67,72,0,12,0,12,0,12,0,12,0,12
14000US22051024900,"Census Tract 249, Jefferson, LA",1477,207,1095,178,285,113,0,12,12,19,0,12,55,87,30,38,0,12,30,38
14000US22051025001,"Census Tract 250.01, Jefferson, LA",8655,815,2212,314,5050,799,17,27,988,303,31,105,201,165,156,109,0,17,156,109
