GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17
1400000US22001960100,22001960100,"Census Tract 9601, Acadia Parish, Louisiana",6188,6101,4398,1675,11,5,0,2,10,87,57,0,1,2,0,23,4
1400000US22001960200,22001960200,"Census Tract 9602, Acadia Parish, Louisiana",5056,5021,4775,216,6,1,0,3,20,35,24,0,0,0,0,10,1
1400000US22001960300,22001960300,"Census Tract 9603, Acadia Parish, Louisiana",3149,3134,3049,67,8,2,1,0,7,15,9,0,0,0,0,4,2
1400000US22001960400,22001960400,"Census Tract 9604, Acadia Parish, Louisiana",5617,5574,5307,207,18,6,0,5,31,43,40,0,0,0,0,0,3
1400000US22001960500,22001960500,"Census Tract 9605, Acadia Parish, Louisiana",4927,4866,4448,378,13,4,1,1,21,61,50,0,2,0,0,4,5
1400000US22001960600,22001960600,"Census Tract 9606, Acadia Parish, Louisiana",5654,5605,4774,780,7,12,0,3,29,49,35,2,0,0,0,7,5
1400000US22001960700,22001960700,"Census Tract 9607, Acadia Parish, Louisiana",4614,4582,2234,2316,3,6,0,3,20,32,24,4,1,0,0,3,0
1400000US22001960800,22001960800,"Census Tract 9608, Acadia Parish, Louisiana",5640,5586,4949,565,16,30,0,2,24,54,44,4,0,0,0,2,4
1400000US22001960900,22001960900,"Census Tract 9609, Acadia Parish, Louisiana",5059,5013,2082,2892,5,8,0,4,22,46,15,13,1,0,1,11,5
1400000US22001961000,22001961000,"Census Tract 9610, Acadia Parish, Louisiana",5965,5888,4441,1396,11,9,0,5,26,77,49,12,1,0,0,11,4
1400000US22001961100,22001961100,"Census Tract 9611, Acadia Parish, Louisiana",3497,3474,3288,155,10,1,0,0,20,23,14,0,0,0,0,8,1
1400000US22001961200,22001961200,"Census Tract 9612, Acadia Parish, Louisiana",3495,3479,3405,58,2,3,1,1,9,16,10,0,0,0,0,5,1
1400000US22003950100,22003950100,"Census Tract 9501, Allen Parish, Louisiana",4591,4549,4391,85,29,4,0,2,38,42,20,0,1,0,0,9,12
1400000US22003950200,22003950200,"Census Tract 9502, Allen Parish, Louisiana",5516,4550,2934,1468,33,90,0,0,25,966,864,66,0,0,0,26,10
1400000US22003950300,22003950300,"Census Tract 9503, Allen Parish, Louisiana",3477,3443,2048,1323,26,8,1,0,37,34,20,8,0,2,0,2,2
1400000US22003950400,22003950400,"Census Tract 9504, Allen Parish, Louisiana",4601,4567,3434,1065,39,7,0,1,21,34,24,5,0,0,0,3,2
1400000US22003950500,22003950500,"Census Tract 9505, Allen Parish, Louisiana",7255,7185,4522,2234,309,33,2,6,79,70,34,5,1,0,0,13,17
1400000US22005030101,22005030101,"Census Tract 301.01, Ascension Parish, Louisiana",4824,4758,4461,241,15,8,2,4,27,66,44,2,3,0,0,15,2
1400000US22005030102,22005030102,"Census Tract 301.02, Ascension Parish, Louisiana",4377,4246,4123,70,25,4,0,0,24,131,55,0,0,0,0,68,8
1400000US22005030103,22005030103,"Census Tract 301.03, Ascension Parish, Louisiana",4813,4765,4683,20,13,19,0,0,30,48,27,0,0,3,0,4,14
1400000US22005030203,22005030203,"Census Tract 302.03, Ascension Parish, Louisiana",6296,6211,5955,177,11,36,2,0,30,85,51,0,0,0,0,29,5
1400000US22005030204,22005030204,"Census Tract 302.04, Ascension Parish, Louisiana",6845,6730,5965,681,27,14,8,5,30,115,59,1,1,3,1,36,14
1400000US22005030205,22005030205,"Census Tract 302.05, Ascension Parish, Louisiana",5593,5446,4807,521,18,40,2,7,51,147,84,2,1,0,0,47,13
1400000US22005030206,22005030206,"Census Tract 302.06, Ascension Parish, Louisiana",6594,6241,5415,742,15,27,1,6,35,353,170,2,4,0,0,167,10
1400000US22005030300,22005030300,"Census Tract 303, Ascension Parish, Louisiana",5506,5420,3250,2116,12,12,0,2,28,86,43,5,0,0,0,27,11
