GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017
1500000US220019601001,220019601001,"Block Group 1, Census Tract 9601, Acadia Parish, Louisiana",1269,1239,909,285,4,2,0,1,38,30,16,3,0,0,0,10,1
1500000US220019601002,220019601002,"Block Group 2, Census Tract 9601, Acadia Parish, Louisiana",1266,1259,405,837,3,1,0,1,12,7,3,0,0,0,0,2,2
1500000US220019601003,220019601003,"Block Group 3, Census Tract 9601, Acadia Parish, Louisiana",812,797,650,121,2,1,0,11,12,15,13,0,0,0,0,2,0
1500000US220019601004,220019601004,"Block Group 4, Census Tract 9601, Acadia Parish, Louisiana",1487,1467,940,510,1,0,1,1,14,20,10,1,0,0,0,7,2
1500000US220019601005,220019601005,"Block Group 5, Census Tract 9601, Acadia Parish, Louisiana",1379,1333,1135,179,5,1,0,2,11,46,21,1,1,0,0,23,0
1500000US220019602001,220019602001,"Block Group 1, Census Tract 9602, Acadia Parish, Louisiana",2537,2434,2175,213,5,5,0,0,36,103,29,0,0,0,0,44,30
1500000US220019602002,220019602002,"Block Group 2, Census Tract 9602, Acadia Parish, Louisiana",1902,1876,1800,59,2,9,0,0,6,26,19,1,0,0,0,6,0
1500000US220019602003,220019602003,"Block Group 3, Census Tract 9602, Acadia Parish, Louisiana",1549,1524,1497,20,3,0,0,0,4,25,15,0,1,0,0,8,1
1500000US220019603001,220019603001,"Block Group 1, Census Tract 9603, Acadia Parish, Louisiana",956,939,877,50,1,8,0,1,2,17,11,0,0,0,0,5,1
1500000US220019603002,220019603002,"Block Group 2, Census Tract 9603, Acadia Parish, Louisiana",1514,1487,1444,24,10,2,2,0,5,27,13,0,0,0,0,11,3
1500000US220019603003,220019603003,"Block Group 3, Census Tract 9603, Acadia Parish, Louisiana",1112,1094,1069,1,5,1,0,0,18,18,5,0,0,0,0,7,6
1500000US220019604001,220019604001,"Block Group 1, Census Tract 9604, Acadia Parish, Louisiana",2126,2104,2007,57,3,11,0,1,25,22,21,0,0,0,0,0,1
1500000US220019604002,220019604002,"Block Group 2, Census Tract 9604, Acadia Parish, Louisiana",1780,1753,1629,98,6,0,0,1,19,27,17,0,0,0,0,10,0
1500000US220019604003,220019604003,"Block Group 3, Census Tract 9604, Acadia Parish, Louisiana",1199,1189,1131,39,5,1,0,0,13,10,6,0,0,0,0,0,4
1500000US220019604004,220019604004,"Block Group 4, Census Tract 9604, Acadia Parish, Louisiana",1479,1463,1433,15,4,0,0,0,11,16,9,0,0,0,0,7,0
1500000US220019605001,220019605001,"Block Group 1, Census Tract 9605, Acadia Parish, Louisiana",2325,2290,2075,174,10,3,1,0,27,35,21,0,0,0,0,14,0
1500000US220019605002,220019605002,"Block Group 2, Census Tract 9605, Acadia Parish, Louisiana",1083,1075,927,141,0,0,0,3,4,8,3,1,0,0,0,1,3
