Neighborhood,6/1/2005,6/1/2008,6/1/2009,6/1/2010,6/1/2011,6/1/2012,6/1/2013,6/1/2014,6/1/2015
Algiers Point,"1,322","1,351","1,417","1,429","1,395","1,402","1,406","1,464","1,479"
Audubon,"7,576","7,344","7,292","7,319","7,388","7,390","7,386","7,424","7,433"
B.W. Cooper,"1,269",357,345,379,382,411,619,446,579
Bayou St. John,"2,292","1,921","1,976","2,027","2,027","2,077","2,118","2,133","2,139"
Behrman,"3,878","3,697","3,832","3,670","3,341","3,294","3,316","3,257","3,265"
Black Pearl,"1,115","1,107","1,082","1,082","1,110","1,123","1,126","1,154","1,170"
Broadmoor,"3,139","2,551","2,324","2,378","2,469","2,534","2,610","2,671","2,725"
Bywater,"2,570","2,091","2,165","2,181","2,208","2,324","2,372","2,414","2,478"
Central Business District,"1,316","1,585","1,939","2,060","2,357","2,635","2,799","2,917","3,415"
Central City,"8,175","6,405","6,233","6,417","7,062","7,322","7,517","7,725","7,980"
City Park,"1,670","1,534","1,585","1,600","1,632","1,645","1,645","1,651","1,613"
Desire Dev & Neighborhood,"1,555",565,660,812,"1,020","1,053","1,073","1,085","1,102"
Dillard,"2,608","1,728","1,767","2,040","2,354","2,349","2,408","2,309","2,264"
Dixon,631,453,529,565,598,615,621,604,621
East Carrollton,"2,286","2,275","2,276","2,244","2,282","2,297","2,312","2,326","2,330"
East Riverside,"1,539","1,601","1,472","1,474","1,509","1,533","1,539","1,562","1,568"
Fairgrounds,"3,091","2,843","2,919","3,000","3,001","3,025","3,044","3,072","3,079"
Filmore,"2,831","1,345","1,480","1,686","2,033","2,096","2,144","2,238","2,302"
Fischer Development,300,294,291,292,328,405,401,412,408
Florida Area,"1,351",457,523,614,642,697,719,740,778
Florida Development,460,1,2,2,2,3,3,3,4
French Quarter,"4,106","3,917","3,936","3,888","3,984","4,030","4,053","4,144","4,176"
Freret,"1,014",671,789,839,865,879,885,892,870
Garden District,"1,216","1,192","1,192","1,179","1,182","1,192","1,191","1,171","1,183"
