year,total,white,black,hispanic,asian,american_indian,native_hawaiian,two_or_more
2000,454936,298355,103577,32919,14367,1892,123,3703
2001,453154,293092,105651,34250,14296,1855,117,3893
2002,453429,288784,107985,36024,14661,1815,135,4025
2003,454533,285231,110327,37811,15076,1845,130,4113
2004,456602,281358,113326,40125,15460,1867,119,4347
2005,456554,276774,115293,42127,15850,1890,104,4516
2006,426285,257272,107323,40560,15284,1612,124,4110
2007,432683,253528,112664,44916,15511,1717,161,4186
2008,431759,248760,112786,47951,16011,1711,158,4382
2009,431921,245078,112653,51308,16420,1660,155,4647
2010,432449,242779,112414,53798,16712,1626,144,4976
2011,434056,241315,112773,56090,17026,1664,111,5077
2012,434575,239410,113036,57550,17389,1719,118,5353
2013,435524,237762,113624,58916,17813,1731,129,5549
2014,435716,235708,114286,60054,18105,1707,134,5722
