year,total,white,black,hispanic,asian,american_indian,native_hawaiian,two_or_more
2000,485610,129858,325105,15115,11201,912,87,3332
2001,487363,129569,326587,15556,11146,882,106,3517
2002,489722,129889,327822,16097,11261,896,109,3648
2003,492187,130290,329108,16513,11499,943,97,3737
2004,493765,130899,329347,16825,11762,1005,109,3818
2005,494294,130891,329165,17298,11989,1033,97,3821
2006,230172,76115,133015,11146,6715,599,117,2465
2007,268751,83945,159887,13223,8059,693,119,2825
2008,301842,91797,181882,15237,8832,741,125,3228
2009,327803,99494,197337,16862,9638,777,117,3578
2010,347858,106395,208252,18259,10062,859,121,3910
2011,360877,110671,215664,19073,10466,818,129,4056
2012,370167,114236,219932,19926,10820,839,135,4279
2013,379006,117337,224040,20929,11194,859,154,4493
2014,384320,119865,226007,21300,11434,860,156,4698
