year,total,white,black,hispanic,asian,american_indian,native_hawaiian,two_or_more
2000,67278,56925,5101,3435,885,314,6,612
2001,68028,57295,5490,3469,856,296,6,616
2002,68964,57735,5900,3482,911,289,7,640
2003,69621,57950,6190,3651,909,286,7,628
2004,70547,58212,6721,3778,909,268,7,652
2005,71300,58220,7259,3957,922,263,12,667
2006,16563,11587,2093,1634,507,212,7,523
2007,23613,16694,3362,2254,517,213,9,564
2008,28879,20404,4415,2687,570,201,8,594
2009,32878,22890,5425,3112,615,213,11,612
2010,36762,25294,6479,3335,710,241,10,693
2011,39489,26552,7461,3726,797,221,12,720
2012,41498,27403,8294,3937,902,227,10,725
2013,43380,28130,9112,4126,993,224,11,784
2014,44409,28434,9633,4249,1040,234,11,808
